"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"01 FEB 2016",1.0884,131.9900,1.1096,0.76100,1.9558,27.0210,7.4625,311.8600,0.7899,4.3952,4.5246,9.2835,"_",9.4160,7.6605,82.9655,3.2269,1.5377,4.3511,1.5253,7.1605,8.4688,14846.0500,4.3000,73.9100,1310.4300,19.8811,4.5345,1.6820,51.9320,1.5500,38.7600,17.5019
"02 FEB 2016",1.0919,131.8400,1.1147,0.75860,1.9558,27.0260,7.4628,311.6500,0.7899,4.4055,4.5140,9.3437,"_",9.5223,7.6675,86.3711,3.2237,1.5475,4.3565,1.5292,7.1847,8.4996,14945.1100,4.3161,74.2325,1322.5800,20.0265,4.6020,1.6839,52.2560,1.5586,39.0350,17.5788
"03 FEB 2016",1.0933,130.5800,1.1115,0.75330,1.9558,27.0250,7.4623,310.5500,0.7898,4.3982,4.5093,9.3580,"_",9.5138,7.6665,85.9910,3.2138,1.5484,4.3280,1.5234,7.1916,8.5266,15038.7000,4.3320,74.3900,1329.8700,20.1098,4.6121,1.6560,52.3700,1.5631,39.1990,17.6950
"04 FEB 2016",1.1206,131.4900,1.1169,0.76595,1.9558,27.0210,7.4629,310.4900,0.8019,4.4152,4.5087,9.4036,"_",9.5375,7.6610,86.0790,3.2500,1.5546,4.3486,1.5366,7.3691,8.7277,15269.9600,4.3790,75.8600,1336.7500,20.3101,4.6125,1.6678,53.3660,1.5720,39.9520,17.7670
"05 FEB 2016",1.1202,130.7100,1.1101,0.76975,1.9558,27.0370,7.4629,309.9500,0.8011,4.4134,4.5028,9.4325,"_",9.5665,7.6540,86.0050,3.2498,1.5583,4.3454,1.5404,7.3624,8.7231,15177.3800,4.3415,75.7857,1333.8900,20.3988,4.6528,1.6655,53.2710,1.5636,39.7780,17.7584
"08 FEB 2016",1.1101,129.1100,1.1051,0.77240,1.9558,27.0620,7.4631,310.6900,0.7962,4.4352,4.4798,9.4307,"_",9.5885,7.6455,85.8419,3.2721,1.5726,4.3245,1.5487,7.2995,8.6481,15178.8200,4.3215,75.5245,1343.4100,20.7145,4.6462,1.6802,53.0840,1.5640,39.4590,17.9885
"09 FEB 2016",1.1236,129.0700,1.0997,0.77945,1.9558,27.0580,7.4635,311.5500,0.8028,4.4530,4.4943,9.5142,"_",9.6705,7.6420,88.3952,3.3154,1.6083,4.3741,1.5623,7.3924,8.7585,15307.4200,4.3655,76.4549,1356.2400,21.1922,4.6880,1.7085,53.6410,1.5767,39.8290,18.1960
"10 FEB 2016",1.1257,129.4200,1.0960,0.77328,1.9558,27.0310,7.4638,311.6200,0.8025,4.4289,4.4830,9.5162,"_",9.6195,7.6350,88.5600,3.2945,1.5848,4.3758,1.5601,7.4007,8.7686,15136.7300,4.3589,76.3844,1340.3700,21.0652,4.6398,1.6916,53.3880,1.5674,39.7930,17.8379
"11 FEB 2016",1.1347,127.3000,1.1027,0.78740,1.9558,27.0690,7.4638,311.9800,0.8057,4.4485,4.4783,9.5188,"_",9.7085,7.6391,90.8866,3.3217,1.6018,4.4836,1.5842,7.4592,8.8406,15286.3900,4.4151,77.6550,1362.8300,21.6064,4.7033,1.6973,53.9530,1.5774,39.9950,17.9877
"12 FEB 2016",1.1275,127.0700,1.0989,0.77735,1.9558,27.0630,7.4642,310.1300,0.8020,4.4109,4.4741,9.4550,"_",9.6773,7.6320,89.5851,3.3030,1.5901,4.5087,1.5698,7.4114,8.7816,15211.5400,4.3761,76.9418,1359.9800,21.6852,4.6955,1.6965,53.5610,1.5756,40.1390,17.9194
"15 FEB 2016",1.1180,127.6000,1.1009,0.77200,1.9558,27.0370,7.4638,309.2400,"_",4.3945,4.4689,9.4862,"_",9.6313,7.6200,86.3193,3.2908,1.5624,4.4567,1.5454,7.2606,8.7036,14947.9000,4.3482,76.1045,1352.1500,21.0910,4.6224,1.6772,53.0000,1.5643,39.8180,17.6114
"16 FEB 2016",1.1166,127.0200,1.1018,0.77580,1.9558,27.0290,7.4644,310.7500,0.7987,4.4062,4.4613,9.4742,"_",9.6049,7.6170,86.4489,3.3023,1.5605,4.4833,1.5430,7.2741,8.6950,14997.8700,4.3662,76.3985,1358.7000,21.0457,4.6685,1.6931,53.0500,1.5656,39.7900,17.5669
"17 FEB 2016",1.1136,127.1000,1.1034,0.77835,1.9558,27.0440,7.4645,309.9500,0.7975,4.3979,4.4550,9.4723,"_",9.5955,7.6173,85.1875,3.2961,1.5629,4.4866,1.5387,7.2685,8.6764,15019.1900,4.3471,76.2800,1368.2400,20.8655,4.6939,1.6902,53.0390,1.5703,39.6780,17.4320
"18 FEB 2016",1.1084,126.1700,1.1028,0.77143,1.9558,27.0300,7.4635,309.4900,0.7944,4.3817,4.4615,9.4014,"_",9.5235,7.6175,83.4772,3.2884,1.5496,4.4527,1.5168,7.2242,8.6222,14951.1500,4.3306,75.9461,1362.2000,20.2110,4.6237,1.6728,52.6950,1.5564,39.4220,17.0657
"19 FEB 2016",1.1096,125.4000,1.1017,0.77715,1.9558,27.0230,7.4625,309.1100,0.7951,4.3777,4.4670,9.3838,"_",9.5358,7.6180,85.1924,3.2903,1.5605,4.4854,1.5274,7.2378,8.6268,14988.0400,4.3410,75.9715,1368.6900,20.2927,4.6836,1.6761,52.8430,1.5617,39.6680,17.1380
"22 FEB 2016",1.1026,124.8500,1.1008,0.78243,1.9558,27.0220,7.4620,307.8400,0.7931,4.3646,4.4767,9.3572,"_",9.4930,7.6300,83.4916,3.2512,1.5322,4.3755,1.5128,7.1909,8.5679,14824.6700,4.3086,75.5948,1351.1900,19.9350,4.6171,1.6521,52.5170,1.5469,39.4180,16.8486
"23 FEB 2016",1.1002,123.1200,1.0921,0.77985,1.9558,27.0280,7.4618,307.6300,0.7918,4.3668,4.4648,9.3510,"_",9.4590,7.6260,82.7990,3.2298,1.5202,4.3570,1.5116,7.1814,8.5480,14736.5100,4.2965,75.4059,1353.4600,19.8974,4.6346,1.6452,52.3970,1.5484,39.3210,16.6401
"24 FEB 2016",1.0981,122.8600,1.0914,0.78935,1.9558,27.0470,7.4621,310.5500,0.7923,4.3680,4.4775,9.3636,"_",9.5858,7.6260,84.6894,3.2336,1.5319,4.3793,1.5197,7.1794,8.5333,14766.3400,4.3112,75.2885,1359.5800,20.0815,4.6603,1.6620,52.3460,1.5478,39.2130,17.0655
"25 FEB 2016",1.1027,124.0100,1.0935,0.78920,1.9558,27.0520,7.4617,310.8600,0.7937,4.3581,4.4673,9.3808,"_",9.5413,7.6220,83.9575,3.2248,1.5292,4.3527,1.5025,7.2026,8.5676,14787.7600,4.3015,75.9485,1366.7400,20.0011,4.6500,1.6487,52.5320,1.5463,39.3220,17.1657
"26 FEB 2016",1.1006,124.4200,1.0929,0.78745,1.9558,27.0640,7.4600,310.5200,0.7927,4.3631,4.4639,9.3710,"_",9.5245,7.6230,83.0450,3.2347,1.5275,4.3356,1.4909,7.1954,8.5511,14715.0200,4.2930,75.6010,1360.3400,19.9233,4.6352,1.6347,52.2760,1.5428,39.2360,17.2528
"29 FEB 2016",1.0888,123.1400,1.0914,0.78580,1.9558,27.0570,7.4602,311.2600,0.7882,4.3543,4.4757,9.3219,"_",9.5043,7.6263,82.6432,3.2273,1.5260,4.3394,1.4767,7.1351,8.4651,14559.4300,4.2556,74.3825,1347.5400,19.8005,4.5870,1.6557,51.6150,1.5325,38.8270,17.4563
"01 MAR 2016",1.0872,122.9400,1.0860,0.77800,1.9558,27.0560,7.4591,310.1500,0.7866,4.3468,4.4653,9.3650,"_",9.4070,7.6263,80.2270,3.2089,1.5196,4.3519,1.4699,7.1230,8.4539,14500.0000,4.2332,73.7700,1340.0600,19.5872,4.5163,1.6475,51.3410,1.5238,38.7090,17.2024
"02 MAR 2016",1.0856,124.0700,1.0845,0.77410,1.9558,27.0460,7.4580,309.9600,0.7865,4.3297,4.4585,9.3385,"_",9.4220,7.6040,80.0729,3.1903,1.5010,4.2523,1.4595,7.1125,8.4400,14445.1700,4.2191,73.3115,1334.2900,19.4214,4.5215,1.6404,51.3270,1.5226,38.6150,17.0097
"03 MAR 2016",1.0901,124.2300,1.0840,0.77435,1.9558,27.0570,7.4565,308.9400,0.7885,4.3339,4.4584,9.3620,"_",9.4245,7.6015,80.0845,3.1920,1.4852,4.1949,1.4644,7.1298,8.4755,14427.4700,4.2402,73.3365,1322.6100,19.5122,4.4962,1.6257,51.2110,1.5158,38.6770,17.1245
"04 MAR 2016",1.0970,124.7700,1.0898,0.77483,1.9558,27.0580,7.4609,309.3100,0.7903,4.3313,4.4663,9.3345,"_",9.3830,7.5940,80.1674,3.2027,1.4859,4.0834,1.4717,7.1480,8.5192,14409.1000,4.2850,73.5910,1319.7800,19.5613,4.5100,1.6223,51.3250,1.5150,38.8230,17.1275
"07 MAR 2016",1.0953,124.4500,1.0962,0.77438,1.9558,27.0560,7.4605,309.6300,0.7898,4.3279,4.4623,9.3309,"_",9.3583,7.5783,78.7226,3.2014,1.4776,4.1228,1.4652,7.1381,8.5081,14337.4800,4.2865,73.4825,1318.9900,19.5274,4.4720,1.6221,51.3830,1.5138,38.7850,16.8358
"08 MAR 2016",1.1028,124.6000,1.0952,0.77608,1.9558,27.0580,7.4614,310.1900,0.7929,4.3275,4.4651,9.3728,"_",9.4285,7.5776,79.0929,3.2180,1.4794,4.1690,1.4695,7.1744,8.5656,14494.1000,4.3113,74.2265,1329.8700,19.6437,4.5327,1.6302,51.7730,1.5259,39.0280,16.9485
"09 MAR 2016",1.0973,123.6300,1.0978,0.77135,1.9558,27.0470,7.4614,309.6200,0.7897,4.3149,4.4637,9.2920,"_",9.3964,7.5620,78.7670,3.1902,1.4650,4.0740,1.4705,7.1466,8.5216,14452.2700,4.2779,73.6840,1329.6300,19.5511,4.5147,1.6192,51.4170,1.5171,38.7240,16.8748
"10 MAR 2016",1.0857,123.8700,1.0941,0.76728,1.9558,27.0370,7.4587,310.0100,0.7820,4.2921,4.4585,9.2361,"_",9.2926,7.5670,76.4370,3.1292,1.4522,3.9720,1.4424,7.0787,8.4299,14168.1900,4.2357,72.6645,1302.8900,19.1827,4.4438,1.6277,50.5810,1.5013,38.3140,16.3640
"11 MAR 2016",1.1090,126.1700,1.0948,0.77595,1.9558,27.0590,7.4598,310.2800,0.7951,4.3099,4.4669,9.3090,"_",9.4360,7.5745,77.4590,3.1888,1.4766,4.0401,1.4698,7.2119,8.6069,14484.6300,4.3022,74.3170,1319.8900,19.6852,4.5331,1.6578,51.5650,1.5271,38.9370,16.9023
"14 MAR 2016",1.1119,126.3600,1.0969,0.77428,1.9558,27.0500,7.4585,310.1100,0.7968,4.2837,4.4658,9.2810,"_",9.4140,7.5650,78.5889,3.2049,1.4755,4.0261,1.4737,7.2230,8.6253,14504.4700,4.3133,74.5653,1318.7700,19.7648,4.5746,1.6591,51.7850,1.5281,38.9610,17.1243
"15 MAR 2016",1.1109,125.3600,1.0954,0.78358,1.9558,27.0430,7.4577,310.5300,0.7971,4.2889,4.4718,9.2421,"_",9.4800,7.5590,78.7265,3.2128,1.4877,4.1191,1.4832,7.2336,8.6199,14638.8800,4.3235,74.8283,1326.8000,19.8474,4.6023,1.6709,51.9150,1.5324,39.0040,17.6117
"16 MAR 2016",1.1064,125.6800,1.0960,0.78730,1.9558,27.0500,7.4565,311.4300,0.7947,4.3023,4.4765,9.2235,"_",9.5020,7.5655,78.6080,3.2362,1.4911,4.2224,1.4798,7.2180,8.5875,14679.1600,4.3171,74.3888,1321.9800,19.8495,4.6169,1.6809,51.7520,1.5315,38.8000,17.9375
"17 MAR 2016",1.1311,126.2800,1.0959,0.78218,1.9558,27.0440,7.4553,310.0500,0.8035,4.2895,4.4776,9.2935,"_",9.4768,7.5353,77.3560,3.2366,1.4828,4.1438,1.4701,7.3317,8.7744,14749.5400,4.3565,75.3790,1312.8500,19.8183,4.5917,1.6555,52.3850,1.5314,39.3510,17.4138
"18 MAR 2016",1.1279,125.7900,1.0919,0.77855,1.9558,27.0350,7.4542,310.3200,0.8021,4.2625,4.4718,9.2773,"_",9.4111,7.5305,76.0498,3.2218,1.4804,4.0794,1.4627,7.3037,8.7464,14754.0900,4.3387,74.7625,1306.1100,19.4683,4.5716,1.6550,52.3510,1.5277,39.2960,17.2024
"21 MAR 2016",1.1271,125.9400,1.0916,0.78303,1.9558,27.0350,7.4544,310.4900,0.8021,4.2581,4.4688,9.2538,"_",9.4428,7.5215,76.7226,3.2325,1.4819,4.0897,1.4703,7.3028,8.7408,14874.8100,4.3446,74.9933,1308.0500,19.5916,4.5728,1.6645,52.2960,1.5324,39.3700,17.2448
"22 MAR 2016",1.1212,125.1300,1.0887,0.78790,1.9558,27.0370,7.4541,312.6000,0.8000,4.2612,4.4703,9.2315,"_",9.4470,7.5380,76.2330,3.2260,1.4751,4.0526,1.4679,7.2791,8.6942,14772.9300,4.3194,74.7605,1302.0500,19.5680,4.4882,1.6626,51.9220,1.5260,39.1640,17.1950
"23 MAR 2016",1.1171,126.0100,1.0894,0.78985,1.9558,27.0380,7.4542,313.7900,0.7990,4.2563,4.4655,9.2315,"_",9.4863,7.5415,75.8478,3.2111,1.4780,4.0600,1.4676,7.2648,8.6628,14760.8700,4.2938,74.6175,1300.5800,19.4942,4.4673,1.6676,51.8480,1.5280,39.3110,17.1475
"24 MAR 2016",1.1154,125.4100,1.0875,0.78938,1.9558,27.0640,7.4546,314.2400,0.7991,4.2788,4.4669,9.2688,"_",9.4940,7.5358,77.7413,3.2110,1.4858,4.1316,1.4821,7.2662,8.6548,14781.8400,4.2753,74.5790,1302.2100,19.7076,4.4956,1.6645,51.7660,1.5268,39.4070,17.2854
"25 MAR 2016","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"28 MAR 2016","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"29 MAR 2016",1.1194,127.1300,1.0915,0.78450,1.9558,27.0730,7.4549,314.1800,0.8003,4.2498,4.4645,9.2690,"_",9.4839,7.5255,76.7345,3.2109,1.4901,4.0795,1.4741,7.2873,8.6835,14957.1600,4.2886,74.4743,1306.6700,19.5809,4.4712,1.6597,51.8690,1.5311,39.6720,17.3156
"30 MAR 2016",1.1324,127.3700,1.0913,0.78580,1.9558,27.0750,7.4531,314.2900,0.8051,4.2538,4.4623,9.2420,"_",9.4300,7.5168,76.7842,3.2140,1.4766,4.1275,1.4755,7.3366,8.7810,15004.1200,4.2899,75.1760,1293.6700,19.5281,4.4502,1.6356,52.0560,1.5311,39.8940,16.9129
"31 MAR 2016",1.1385,127.9000,1.0931,0.79155,1.9558,27.0510,7.4512,314.1200,0.8080,4.2576,4.4718,9.2253,"_",9.4145,7.5255,76.3051,3.2118,1.4807,4.1174,1.4738,7.3514,8.8282,15024.8400,4.2950,75.4298,1294.8800,19.5903,4.4078,1.6411,52.2840,1.5304,40.0180,16.7866
"01 ABR 2016",1.1432,128.0700,1.0946,0.79890,1.9558,27.0300,7.4503,313.3000,0.8113,4.2440,4.4693,9.2413,"_",9.4401,7.5105,77.5430,3.2285,1.4884,4.1296,1.4894,7.3903,8.8652,15007.5400,4.3182,75.8528,1315.7800,19.8996,4.4382,1.6518,52.6150,1.5389,40.1150,16.8758
"04 ABR 2016",1.1380,126.9700,1.0919,0.79738,1.9558,27.0460,7.4459,312.2900,0.8088,4.2340,4.4648,9.2493,"_",9.4359,7.5115,77.1535,3.1952,1.4917,4.0420,1.4832,7.3696,8.8254,14961.7500,4.3079,75.2275,1308.1900,19.7227,4.4317,1.6605,52.5620,1.5373,40.0800,16.6800
"05 ABR 2016",1.1367,125.8100,1.0892,0.80160,1.9558,27.0360,7.4421,312.6200,0.8074,4.2448,4.4660,9.2560,"_",9.4995,7.5110,78.4507,3.2165,1.5085,4.1395,1.4968,7.3595,8.8164,15035.7900,4.3230,75.5435,1317.1700,19.9963,4.4635,1.6780,52.5930,1.5430,40.1030,17.0187
"06 ABR 2016",1.1336,125.1300,1.0887,0.80808,1.9558,27.0290,7.4412,312.3300,0.8063,4.2636,4.4685,9.2628,"_",9.4760,7.5100,77.8058,3.2343,1.5029,4.2000,1.4912,7.3550,8.7927,15025.0700,4.3296,75.5780,1318.3500,20.1485,4.4660,1.6705,52.4560,1.5373,40.0100,17.2805
"07 ABR 2016",1.1364,123.1500,1.0884,0.80728,1.9558,27.0250,7.4417,312.2800,0.8065,4.2833,4.4659,9.2575,"_",9.4546,7.5105,77.3719,3.2421,1.5092,4.1617,1.4906,7.3535,8.8169,14955.0200,4.3087,75.7135,1318.1000,20.1779,4.4705,1.6731,52.5790,1.5369,40.0240,17.3170
"08 ABR 2016",1.1363,123.3600,1.0874,0.80730,1.9558,27.0220,7.4419,312.6700,0.8068,4.2953,4.4685,9.2928,"_",9.4183,7.4960,76.5414,3.2415,1.5091,4.1554,1.4861,7.3570,8.8166,14936.6600,4.3006,75.6770,1310.4300,20.2108,4.4433,1.6757,52.4690,1.5335,39.8840,17.1222
"11 ABR 2016",1.1390,123.2800,1.0877,0.80060,1.9558,27.0260,7.4424,312.0700,0.8068,4.2793,4.4675,9.2815,"_",9.3809,7.4875,76.0574,3.2240,1.5060,4.0647,1.4794,7.3709,8.8321,14956.0000,4.3075,75.7055,1306.5500,20.1924,4.4307,1.6669,52.5520,1.5341,39.9560,16.7955
"12 ABR 2016",1.1396,123.4400,1.0874,0.79840,1.9558,27.0300,7.4434,311.3800,0.8064,4.2923,4.4708,9.2138,"_",9.3515,7.4890,75.6167,3.2274,1.4882,4.0034,1.4674,7.3632,8.8371,14917.8400,4.2923,75.6680,1302.8800,20.0248,4.4273,1.6540,52.5170,1.5354,39.9430,16.7396
"13 ABR 2016",1.1298,123.4700,1.0887,0.79388,1.9558,27.0360,7.4429,310.7300,0.8030,4.2869,4.4700,9.1760,"_",9.3113,7.4660,74.2708,3.2259,1.4768,3.9690,1.4466,7.3172,8.7637,14867.1700,4.2697,75.2490,1298.1400,19.8238,4.3852,1.6337,52.0650,1.5265,39.6110,16.6342
"14 ABR 2016",1.1252,123.0900,1.0878,0.79560,1.9558,27.0280,7.4415,311.2500,0.8014,4.2992,4.4728,9.1580,"_",9.2640,7.4822,74.2429,3.2203,1.4610,3.9586,1.4434,7.2970,8.7283,14844.3200,4.2642,74.8648,1298.5300,19.6655,4.3737,1.6395,51.9820,1.5346,39.5060,16.3938
"15 ABR 2016",1.1284,122.9100,1.0919,0.79575,1.9558,27.0250,7.4414,310.5400,0.8028,4.2967,4.4728,9.1902,"_",9.3044,7.5005,75.0125,3.2212,1.4648,3.9387,1.4535,7.3072,8.7527,14862.6700,4.2675,75.1425,1295.1200,19.7927,4.4085,1.6334,52.0510,1.5330,39.5840,16.4424
"18 ABR 2016",1.1306,122.3200,1.0916,0.79780,1.9558,27.0220,7.4417,310.3300,0.8033,4.3059,4.4749,9.1948,"_",9.3325,7.5050,76.7591,3.2251,1.4685,3.9606,1.4612,7.3241,8.7688,14890.9500,4.2702,75.2740,1299.6200,19.9043,4.4404,1.6303,52.2530,1.5328,39.6050,16.5061
"19 ABR 2016",1.1343,124.1000,1.0922,0.78975,1.9558,27.0210,7.4423,310.5100,0.8047,4.3027,4.4813,9.1773,"_",9.2578,7.5005,74.4242,3.2136,1.4547,4.0408,1.4418,7.3372,8.7971,14858.2000,4.2746,75.4905,1277.2800,19.5947,4.3700,1.6127,52.2900,1.5197,39.5870,16.2034
"20 ABR 2016",1.1379,124.2000,1.0939,0.79100,1.9558,27.0210,7.4430,309.0500,0.8063,4.2875,4.4827,9.1643,"_",9.2336,7.5023,74.6465,3.2011,1.4556,4.0362,1.4421,7.3578,8.8272,14973.6200,4.2766,75.3270,1285.0400,19.7060,4.3950,1.6231,52.6260,1.5246,39.6560,16.1623
"21 ABR 2016",1.1355,124.5000,1.0989,0.78693,1.9558,27.0240,7.4411,310.7000,0.8063,4.3085,4.4815,9.1845,"_",9.2015,7.4870,73.8545,3.1962,1.4496,4.0043,1.4346,7.3525,8.8088,14903.4400,4.2705,75.2595,1286.3600,19.6232,4.4105,1.6262,52.8220,1.5252,39.7430,16.0999
"22 ABR 2016",1.1263,124.8600,1.0991,0.78335,1.9558,27.0460,7.4413,310.1000,0.8013,4.3506,4.4753,9.1381,"_",9.2443,7.4900,74.2513,3.1886,1.4570,4.0218,1.4342,7.3159,8.7368,14871.0700,4.2401,74.9425,1287.4100,19.6823,4.3943,1.6364,52.6580,1.5211,39.4320,16.1846
"25 ABR 2016",1.1264,124.9500,1.0973,0.77640,1.9558,27.0470,7.4418,311.3000,0.8014,4.3911,4.4801,9.1570,"_",9.2735,7.4818,74.6713,3.2074,1.4587,4.0168,1.4286,7.3145,8.7373,14864.3400,4.2447,75.0190,1291.4600,19.8036,4.3982,1.6399,52.8080,1.5215,39.4990,16.3141
"26 ABR 2016",1.1287,125.4500,1.1000,0.77483,1.9558,27.0270,7.4418,312.2000,0.8016,4.3799,4.4747,9.1545,"_",9.2278,7.4785,74.8948,3.1951,1.4600,3.9943,1.4276,7.3345,8.7545,14917.5600,4.2484,75.1373,1299.1400,19.7889,4.4279,1.6417,52.8640,1.5280,39.7080,16.3492
"27 ABR 2016",1.1303,125.7900,1.0998,0.77475,1.9558,27.0340,7.4428,312.1200,0.8020,4.3918,4.4640,9.1613,"_",9.2013,7.4773,73.7837,3.1908,1.4885,3.9826,1.4223,7.3411,8.7671,14915.4300,4.2542,75.1273,1299.5300,19.6578,4.4318,1.6504,52.9730,1.5251,39.7070,16.3510
"28 ABR 2016",1.1358,122.8400,1.0974,0.77838,1.9558,27.0450,7.4432,310.7000,0.8036,4.3880,4.4723,9.1763,"_",9.2460,7.4800,73.5195,3.1963,1.4906,3.9907,1.4262,7.3562,8.8111,14977.2300,4.2697,75.5310,1295.5400,19.6713,4.4251,1.6287,53.3090,1.5273,39.8040,16.3328
"29 ABR 2016",1.1403,122.3400,1.0984,0.78025,1.9558,27.0380,7.4440,312.2300,0.8045,4.3965,4.4770,9.1689,"_",9.2150,7.5110,73.2286,3.1934,1.4948,3.9738,1.4286,7.3943,8.8466,15034.8600,4.2666,75.6985,1301.5300,19.5570,4.4546,1.6357,53.5040,1.5311,39.8190,16.1567
"02 MAY 2016",1.1493,122.4700,1.0999,0.78248,1.9558,27.0480,7.4414,310.8400,0.8075,4.3833,4.4815,9.1803,"_",9.2330,7.5130,74.4081,3.2080,1.5025,3.9731,1.4388,7.4418,8.9170,15125.4500,4.3056,76.3185,1307.8500,19.6826,4.4875,1.6368,54.0680,1.5410,40.0760,16.3027
"03 MAY 2016",1.1569,122.5300,1.0977,0.79103,1.9558,27.0370,7.4424,311.8500,0.8107,4.3844,4.4879,9.2305,"_",9.3090,7.5100,76.9498,3.2718,1.5303,4.1020,1.4559,7.5013,8.9769,15276.8300,4.3376,76.8128,1323.7500,20.1460,4.5735,1.6572,54.4250,1.5574,40.4220,16.7316
"04 MAY 2016",1.1505,122.6200,1.0993,0.79284,1.9558,27.0310,7.4404,312.5800,0.8103,4.3936,4.4920,9.2630,"_",9.3410,7.5110,75.9560,3.2893,1.5379,4.1091,1.4670,7.4789,8.9295,15320.0600,4.3407,76.6110,1338.1400,20.4573,4.6120,1.6669,54.3520,1.5605,40.3770,17.0072
"05 MAY 2016",1.1439,122.5100,1.1018,0.78860,1.9558,27.0280,7.4401,312.8400,0.8075,4.4234,4.5035,9.2575,"_",9.2985,7.5150,75.0559,3.3166,1.5266,4.0282,1.4665,7.4410,8.8775,15260.9500,4.3221,76.0745,1333.9500,20.2155,4.5819,1.6577,54.1710,1.5531,40.1910,17.0751
"06 MAY 2016",1.1427,122.2300,1.1070,0.78850,1.9558,27.0210,7.4390,313.6800,0.8062,4.4198,4.5005,9.2753,"_",9.3513,7.5020,75.9135,3.3363,1.5501,4.0650,1.4717,7.4300,8.8678,15276.7600,4.3191,76.1410,1339.6400,20.5185,4.5845,1.6702,53.8840,1.5526,40.1890,17.0959
"09 MAY 2016",1.1395,123.3900,1.1053,0.78998,1.9558,27.0220,7.4393,315.0500,0.8058,4.4142,4.4905,9.2730,"_",9.3330,7.4793,75.1908,3.3446,1.5544,3.9971,1.4743,7.4207,8.8455,15135.9600,4.3089,75.8960,1337.3600,20.4320,4.5854,1.6746,53.8320,1.5572,40.0590,17.2127
"10 MAY 2016",1.1375,124.1200,1.1079,0.78760,1.9558,27.0230,7.4396,314.5000,0.8058,4.4201,4.4885,9.2778,"_",9.3520,7.5034,75.6404,3.3450,1.5486,3.9647,1.4744,7.4130,8.8299,15138.3200,4.3042,75.8435,1334.9900,20.6230,4.6196,1.6884,53.1260,1.5577,40.0740,17.3215
"11 MAY 2016",1.1409,124.0900,1.1099,0.78958,1.9558,27.0220,7.4409,315.3000,0.8072,4.4244,4.4915,9.2920,"_",9.3475,7.5218,75.0267,3.3801,1.5474,3.9517,1.4686,7.4212,8.8542,15155.0500,4.2950,75.9935,1332.7900,20.5313,4.6035,1.6763,53.0550,1.5610,40.2280,17.2737
"12 MAY 2016",1.1389,124.5000,1.1063,0.78888,1.9558,27.0230,7.4407,314.9100,0.8060,4.4193,4.4998,9.2945,"_",9.2320,7.5030,73.7430,3.3569,1.5541,3.9419,1.4594,7.4242,8.8378,15131.1400,4.2833,75.9290,1331.5700,20.3883,4.5704,1.6724,53.0150,1.5620,40.2660,17.0732
"13 MAY 2016",1.1348,123.5600,1.1024,0.78758,1.9558,27.0210,7.4398,315.1700,0.8043,4.3929,4.4975,9.3285,"_",9.2678,7.5020,74.0697,3.3639,1.5579,3.9559,1.4619,7.4001,8.8097,15112.7000,4.2824,75.7825,1330.9100,20.4831,4.5731,1.6692,52.9330,1.5552,40.2060,17.2132
"16 MAY 2016",1.1324,123.2700,1.1059,0.78800,1.9558,27.0230,7.4385,315.5000,0.8034,4.3718,4.4876,9.3370,"_",9.2370,7.4965,73.5759,3.3760,1.5526,3.9999,1.4634,7.3865,8.7910,15069.7500,4.3180,75.6940,1335.9000,20.6176,4.5639,1.6657,52.6520,1.5511,40.0640,17.6310
"17 MAY 2016",1.1318,123.9300,1.1080,0.78150,1.9558,27.0220,7.4386,315.2500,0.8027,4.3621,4.4865,9.3513,"_",9.2558,7.4928,73.3700,3.3575,1.5457,3.9451,1.4631,7.3867,8.7849,15074.6400,4.3230,75.6285,1331.6600,20.7275,4.5481,1.6651,52.5810,1.5501,40.1680,17.6561
"18 MAY 2016",1.1279,123.3800,1.1086,0.77485,1.9558,27.0220,7.4373,316.0500,0.8010,4.3885,4.4990,9.3525,"_",9.2785,7.4880,73.7809,3.3659,1.5521,3.9891,1.4637,7.3714,8.7575,15101.4500,4.3277,75.5460,1340.3100,20.7883,4.5697,1.6666,52.6240,1.5539,40.1650,17.9156
